City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
181,Sola,VU,78.17,light rain,-13.88,167.55,Ulkel Guest House
190,Luba,GQ,81.0,broken clouds,3.46,8.55,
192,Chuy,UY,79.99,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
198,Faanui,PF,80.78,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
202,Sawakin,SD,77.81,scattered clouds,19.11,37.33,فندق الدويم
207,Castro,BR,78.28,moderate rain,-24.79,-50.01,CHACARA BAILLY
209,Kavaratti,IN,82.8,few clouds,10.57,72.64,Hotels in Lakshadweep Islands
211,Jeremoabo,BR,89.06,scattered clouds,-10.07,-38.48,
214,Mar Del Plata,AR,82.4,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
222,Lubango,AO,75.2,moderate rain,-14.92,13.49,Hotel Serra da Chela
227,Boa Vista,BR,82.4,broken clouds,2.82,-60.67,Aipana Plaza Hotel
230,Bengkulu,ID,75.79,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
234,El Alto,PE,75.2,clear sky,-4.27,-81.21,Black Marlin Lodge & Restaurant
236,Male,MV,82.98,clear sky,4.17,73.51,Hotel Octave Maldives
254,Riyadh,SA,77.0,broken clouds,24.69,46.72,InterContinental Riyadh
259,Namibe,AO,76.53,scattered clouds,-15.2,12.15,Hotel Chik Chik Namibe
260,Vredendal,ZA,80.85,clear sky,-31.67,18.5,Tharrakamma Guest House
261,Souillac,MU,78.8,scattered clouds,-20.52,57.52,Bils' Villa
262,Payyannur,IN,82.4,mist,12.1,75.2,Kavvayi Beach House
264,Puerto Castilla,HN,78.8,few clouds,16.02,-85.97,Atrás d la canchita d básquet
267,Tres Passos,BR,85.91,light rain,-27.46,-53.93,Hotel Imperial
276,Meulaboh,ID,77.79,overcast clouds,4.14,96.13,Kost Pria
277,Mutata,CO,85.51,scattered clouds,7.24,-76.44,Hotel Gran Vía Mutatá
279,San Cristobal,VE,80.6,scattered clouds,7.77,-72.22,Pirineos
288,Yenagoa,NG,86.22,light rain,4.92,6.26,Amba Hotels Limited
289,Mana,GF,85.73,clear sky,5.66,-53.78,LE SAMANA
290,Serenje,ZM,83.61,few clouds,-13.23,30.24,SERENJE SOCH INN
292,Quinagaringan,PH,75.16,light rain,11.12,122.59,"Stone House Museum, Eco Park & Inland Resort"
293,Sao Joao Da Barra,BR,84.2,scattered clouds,-21.64,-41.05,Pousada Porto De Canoas
296,Manggar,ID,79.66,overcast clouds,-2.88,108.27,Guest Hotel
297,Harper,LR,81.86,light rain,4.38,-7.72,Screensaver
303,Chipata,ZM,87.57,broken clouds,-13.63,32.65,Protea Hotel by Marriott Chipata
308,Pando,UY,77.0,few clouds,-34.72,-55.95,viviendas mvotma
310,La Brea,HN,78.8,few clouds,15.8,-85.97,Hotel reynita
320,Rocha,UY,80.62,clear sky,-34.48,-54.33,Beleza Pura B&B
322,Mananjary,MG,78.53,clear sky,-21.22,48.33,Vahiny Lodge
323,Atar,MR,82.0,broken clouds,20.52,-13.05,Oumou Elghoura
326,Manaure,CO,84.47,overcast clouds,11.78,-72.44,Del mar vendra
